n_layer1;n_layer2;n_layer3;dropout_1;dropout_2;dropout_3;act;optim;n_batch;best_val_acc
256;512;1024;0.21080345894358254;0.4520086759579889;0.4454069058789204;swish;rmsprop;256;0.4302000105381012
1024;1024;512;0.3623552778311364;0.12117465276172931;0.0005455741758005062;swish;adam;128;0.4936999976634979
1024;1024;256;0.49276287024565263;0.17480785800449467;0.3335014602755372;relu;sgd;128;0.46889999508857727
256;1024;1024;0.3643395018413008;0.21033903106896717;0.4954456226384324;leakyrelu;adam;128;0.3619000017642975
1024;1024;512;0.47290923076523955;0.12275060652838875;0.02354233148440596;swish;rmsprop;128;0.45010000467300415
1024;1024;256;0.4129652985295237;0.23254231123735736;0.06243445514564933;swish;adam;128;0.46549999713897705
256;1024;512;0.05768552377057195;0.2621669514494219;0.22452093058987718;leakyrelu;adam;128;0.454800009727478
1024;1024;1024;0.35311083022161044;0.15710493310315612;0.14097286337276355;swish;rmsprop;128;0.45210000872612
1024;1024;512;0.41814069103308343;0.11651680176681506;0.26812000517050877;leakyrelu;adam;128;0.4088999927043915
256;1024;256;0.11806815502025506;0.04694766174798204;0.020674599393748414;swish;sgd;128;0.39070001244544983
1024;512;512;0.16633866216316442;0.08655924391937006;0.18762317071712725;relu;adam;256;0.40639999508857727
1024;1024;1024;0.4620861677871163;0.35995494249340576;0.054514395203964734;swish;adam;128;0.4528000056743622
